base_date,emd_nm,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,korean_sex_남성,korean_sex_여성,korean_age_0,korean_age_10,korean_age_20,korean_age_30,korean_age_40,korean_age_50,korean_age_60,korean_age_70,korean_age_80
2018-01,건입동,4935982.993000001,703935.3180000002,4938897.022899998,13388.0,13338.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2947.0,2947.0
2018-01,구좌읍,7998788.465100001,753851.9808,5099720.2497,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,남원읍,8648312.394899998,692442.8751,5555026.675900001,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,노형동,36306226.5555,3592287.3542,15269844.274,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,대륜동,8274240.1097,810508.4334999999,6600239.215200001,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,대정읍,11384549.808100002,628118.1967000001,4323924.5278,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,대천동,4458146.7896,365285.2211,4224363.9684999995,13388.0,13390.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2973.0,2973.0
2018-01,도두동,853879.8132000002,147657.8594,2689836.4637000007,13354.0,13346.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2934.0,2934.0
2018-01,동홍동,11589535.7032,1033549.9655,5262330.775900001,13384.0,13348.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2950.0,2950.0
2018-01,봉개동,2290286.725100001,391892.5062999999,2670403.9026999995,13380.0,13374.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2961.0,2961.0
2018-01,삼도1동,6493972.0622000005,514743.13720000006,4759852.514200001,13392.0,13343.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2975.0,2952.0,2952.0
2018-01,삼도2동,3046403.6922999993,371489.4057000001,3976088.3737000003,13386.0,13120.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2837.0,2837.0
2018-01,삼양동,13748029.637600001,603988.1616999999,3593751.1607000004,13382.0,13280.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2915.0,2915.0
2018-01,서홍동,3590031.9246000005,231983.0924,2423403.996099999,13316.0,12884.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2684.0,2684.0
2018-01,성산읍,8320284.057000001,573835.3398,6437132.443,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,송산동,1249305.4449999998,67973.05410000001,1383302.4129,13176.0,13211.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2973.0,2779.0,2779.0
2018-01,아라동,22251079.632299997,2845559.8301999997,8590540.802699998,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,안덕면,8802278.4171,1526284.5218,6870769.522599998,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,애월읍,22217702.053200003,2128192.0508000003,14889536.1254,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,연동,31443937.898000002,3696779.1393999998,16880950.569199998,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
2018-01,영천동,2562671.9428,486829.9478000001,2808552.2273999997,13370.0,13370.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2954.0,2954.0
2018-01,예래동,1942086.6739,637278.2777,5577175.4783,13392.0,13392.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0,2976.0
